T,E,E_err,c,c_err
1.0,-4745.074925074925,0.42411725954533175,0.07202213011763461,0.004401926862705655
1.1,-4723.324675324675,0.5826013152320956,0.11231858406700092,0.00565347832013785
1.2,-4693.686313686314,0.6993131884838094,0.13597999292304982,0.006854802656167115
1.3,-4663.956043956044,0.7786455431590301,0.14364382739959827,0.006029032747252608
1.4,-4619.352647352647,0.9236370777941473,0.17427725651583423,0.008010087228842
1.5,-4574.301698301699,1.1333625110437644,0.22858579413704286,0.010001588547437016
1.6,-4501.122877122877,1.3893808683510827,0.3019233713339607,0.013661056424979036
1.7,-4414.333666333667,1.5923425856484232,0.35129279792104856,0.015213456497076495
1.8,-4308.999000999001,1.9083568077704351,0.4500577199345098,0.02149233543926737
1.9,-4186.425574425574,2.2770243390823293,0.5750719867716446,0.024816414418597173
2.0,-4028.835164835165,2.6330887861842767,0.6940089712485317,0.030466148546097704
2.1,-3831.952047952048,3.141473875940583,0.8960296572635255,0.03762528201765129
2.2,-3540.027972027972,3.5703551081301863,1.0545605813016088,0.044331876019353116
2.3,-3252.803196803197,3.706837358547254,1.0400290242664882,0.056246015537907756
2.4,-2994.22977022977,3.7787303777206525,0.992575143803915,0.042764293542808245
2.5,-2750.7092907092906,3.6221186888698287,0.8405032665636063,0.035897337122447456
2.6,-2550.4375624375625,3.2788236043604257,0.6367712966118111,0.02875647833546743
2.7,-2396.1838161838164,3.295164805820196,0.5963769113093863,0.026722784038563638
2.8,-2251.944055944056,3.2474357028286502,0.5385910450331743,0.024979800993239144
2.9,-2137.962037962038,3.017266587199156,0.4334364592573922,0.018349531358830648
3.0,-2038.2417582417581,2.928868105510755,0.3816376287936728,0.017196181543433
